MiniApp,API,GroundTruth,MiniDroid,TaintMini,GroundTruth_Pages,MiniDroid_Pages,TaintMini_Pages
wx88e5ee1e4546b7ec,wx.getUserInfo,4,4,4,"['pages/customIndex/index', 'pages/dataIndex/index', 'pages/index/index', 'pages/meetingDetail/index']","['pages/customIndex/index', 'pages/dataIndex/index', 'pages/index/index', 'pages/meetingDetail/index']","['meetingDetail/index', 'customIndex/index', 'dataIndex/index', 'index/index']"
wx88e5ee1e4546b7ec,wx.saveImageToPhotosAlbum,1,1,1,['pages/postersShare/index'],['pages/postersShare/index'],['postersShare/index']
wx7e4ba3a80bada941,wx.saveImageToPhotosAlbum,1,1,1,['pages/article/article'],['pages/article/article'],['article/article']
wx9b970bb9a32363a3,wx.getUserInfo,5,3,3,"['pages/comment-detail/comment-detail', 'pages/message-detail/message-detail', 'pages/poster-detail/poster-detail', 'pages/poster/poster', 'pages/group-buy-detail/group-buy-detail']","['pages/message-detail/message-detail', 'pages/poster-detail/poster-detail', 'pages/group-buy-detail/group-buy-detail']","['poster-detail/poster-detail', 'message-detail/message-detail', 'group-buy-detail/group-buy-detail']"
wx9b970bb9a32363a3,wx.chooseVideo,1,1,1,['pages/comment-operation/comment-operation'],['pages/comment-operation/comment-operation'],['comment-operation/comment-operation']
wx9b970bb9a32363a3,wx.saveVideoToPhotosAlbum,6,5,0,"['pages/index/index', 'pages/miniV/miniV', 'pages/comment-list/comment-list', 'pages/comment-detail/comment-detail', 'pages/growth-record/growth-record', 'pages/growth-detail/growth-detail']","['pages/index/index', 'pages/miniV/miniV', 'pages/comment-list/comment-list', 'pages/growth-record/growth-record', 'pages/growth-detail/growth-detail']",[]
wx9b970bb9a32363a3,wx.saveImageToPhotosAlbum,9,9,0,"['pages/index/index', 'pages/comment-image/comment-image', 'pages/message-image/message-image', 'pages/enroll-finish/enroll-finish', 'pages/poster-image/poster-image', 'pages/group-buy-image/group-buy-image', 'pages/referral-image/referral-image', 'pages/growth-record/growth-record', 'pages/growth-detail/growth-detail']","['pages/index/index', 'pages/comment-image/comment-image', 'pages/message-image/message-image', 'pages/enroll-finish/enroll-finish', 'pages/poster-image/poster-image', 'pages/group-buy-image/group-buy-image', 'pages/referral-image/referral-image', 'pages/growth-record/growth-record', 'pages/growth-detail/growth-detail']",[]
wx9b970bb9a32363a3,wx.getUserProfile,5,3,3,"['pages/comment-detail/comment-detail', 'pages/message-detail/message-detail', 'pages/poster-detail/poster-detail', 'pages/poster/poster', 'pages/group-buy-detail/group-buy-detail']","['pages/message-detail/message-detail', 'pages/poster-detail/poster-detail', 'pages/group-buy-detail/group-buy-detail']","['poster-detail/poster-detail', 'message-detail/message-detail', 'group-buy-detail/group-buy-detail']"
wx9b970bb9a32363a3,wx.chooseImage,4,4,4,"['pages/index/index', 'pages/comment-operation/comment-operation', 'pages/group-buy-form/group-buy-form', 'pages/poster-detail-form/poster-detail-form']","['pages/index/index', 'pages/comment-operation/comment-operation', 'pages/group-buy-form/group-buy-form', 'pages/poster-detail-form/poster-detail-form']","['group-buy-form/group-buy-form', 'index/index', 'comment-operation/comment-operation', 'poster-detail-form/poster-detail-form']"
wxad2e9789b5076244,wx.chooseInvoice,2,0,0,"['pages/submit-order/submit-order', 'pages/bill/apply/apply']",[],[]
wxad2e9789b5076244,wx.getUserInfo,3,3,3,"['pages/user/user', 'pages/binding-phone/binding-phone', 'pages/gift-coupon/gift-coupon']","['pages/user/user', 'pages/binding-phone/binding-phone', 'pages/gift-coupon/gift-coupon']","['gift-coupon/gift-coupon', 'user/user', 'binding-phone/binding-phone']"
wxad2e9789b5076244,wx.chooseInvoiceTitle,2,1,1,"['pages/submit-order/submit-order', 'pages/bill/apply/apply']",['pages/bill/apply/apply'],['bill/apply/apply']
wxad2e9789b5076244,wx.saveImageToPhotosAlbum,3,2,0,"['pages/prod/prod', 'components/template/spreadsharecode/spreadsharecode', 'pages/sale-list/view/view']","['pages/prod/prod', 'pages/sale-list/view/view']",[]
wx7f12d9e7661eb99b,wx.chooseAddress,1,1,1,['pages/my/address'],['pages/my/address'],['my/address']
wx7f12d9e7661eb99b,wx.saveImageToPhotosAlbum,1,1,1,['pages/good/nineShare'],['pages/good/nineShare'],['good/nineShare']
wx88703a7be7f52af6,wx.getLocation,1,1,1,['pages/order/store/index'],['pages/order/store/index'],['order/store/index']
wx88703a7be7f52af6,wx.chooseAddress,3,3,2,"['pages/member/address/index', 'pages/member/address/post', 'pages/member/address/select']","['pages/member/address/index', 'pages/member/address/post', 'pages/member/address/select']","['member/address/index', 'member/address/select']"
wx88703a7be7f52af6,wx.saveImageToPhotosAlbum,1,1,2,['pages/goods/poster/poster'],['pages/goods/poster/poster'],"['goods/detail/poster/poster', 'goods/poster/poster']"
wx94453ac9e8af894a,wx.getLocation,1,0,0,['app'],[],[]
wx94453ac9e8af894a,wx.chooseImage,3,3,3,"['pages/index/index', 'pages/familyface/familyface', 'pages/upphoto/upphoto']","['pages/index/index', 'pages/familyface/familyface', 'pages/upphoto/upphoto']","['index/index', 'upphoto/upphoto', 'familyface/familyface']"
wx94453ac9e8af894a,wx.getUserInfo,4,3,4,"['pages/index/index', 'pages/index2/index', 'pages/my/my', 'app']","['pages/index/index', 'pages/index2/index', 'pages/my/my']","['index_bak/index', 'index/index', 'my/my', 'index2/index']"
wx94453ac9e8af894a,wx.createCameraContext,2,2,0,"['pages/index/index', 'pages/upphoto/upphoto']","['pages/index/index', 'pages/upphoto/upphoto']",[]
wxaa2f9004d0318568,wx.getUserInfo,2,2,2,"['pages/index/index', 'pages/personalCenter/personalCenter']","['pages/index/index', 'pages/personalCenter/personalCenter']","['index/index', 'personalCenter/personalCenter']"
wxaa2f9004d0318568,wx.getUserProfile,1,1,1,['pages/impower/impower'],['pages/impower/impower'],['impower/impower']
wxaa2f9004d0318568,wx.getLocation,1,1,1,['pages/index/index'],['pages/index/index'],['index/index']
wxaa2f9004d0318568,wx.chooseImage,1,1,1,['pages/repair/repair'],['pages/repair/repair'],['repair/repair']
wx4b7fbaa1c41967fe,wx.getUserInfo,4,4,6,"['pages/mine/mine', 'pages/login/login', 'pages/phone/phone', 'pages/plantlist/plantlist']","['pages/mine/mine', 'pages/login/login', 'pages/phone/phone', 'pages/plantlist/plantlist']","['login/login', 'plantlist/plantlist', 'mine/mine', 'active/active', 'phone/phone', 'bornshare/bornshare']"
wx4b7fbaa1c41967fe,wx.saveImageToPhotosAlbum,2,2,0,"['pages/contactus/contactus', 'pages/yiqingxiaoqudetail/yiqingxiaoqudetail']","['pages/contactus/contactus', 'pages/yiqingxiaoqudetail/yiqingxiaoqudetail']",[]
